season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered
0,0,0,0,0,1,0,0,0.22449,0.2879,0.81,0,0.008174,0.014673
0,0,0,0.043478,0,1,0,0,0.204082,0.2727,0.8,0,0.021798,0.036117
0,0,0,0.086957,0,1,0,0,0.204082,0.2727,0.8,0,0.013624,0.030474
0,0,0,0.130435,0,1,0,0,0.22449,0.2879,0.75,0,0.008174,0.011287
0,0,0,0.173913,0,1,0,0,0.22449,0.2879,0.75,0,0,0.001129
0,0,0,0.217391,0,1,0,0.333333,0.22449,0.2576,0.75,0.105325,0,0.001129
0,0,0,0.26087,0,1,0,0,0.204082,0.2727,0.8,0,0.00545,0
0,0,0,0.304348,0,1,0,0,0.183673,0.2576,0.86,0,0.002725,0.002257
0,0,0,0.347826,0,1,0,0,0.22449,0.2879,0.75,0,0.002725,0.007901
0,0,0,0.391304,0,1,0,0,0.306122,0.3485,0.76,0,0.021798,0.006772
0,0,0,0.434783,0,1,0,0,0.367347,0.3939,0.76,0.298225,0.032698,0.027088
0,0,0,0.478261,0,1,0,0,0.346939,0.3333,0.81,0.333373,0.070845,0.03386
0,0,0,0.521739,0,1,0,0,0.408163,0.4242,0.77,0.333373,0.079019,0.062077
0,0,0,0.565217,0,1,0,0.333333,0.44898,0.4545,0.72,0.350888,0.128065,0.053047
0,0,0,0.608696,0,1,0,0.333333,0.44898,0.4545,0.72,0.333373,0.095368,0.080135
0,0,0,0.652174,0,1,0,0.333333,0.428571,0.4394,0.77,0.350888,0.108992,0.079007
0,0,0,0.695652,0,1,0,0.333333,0.408163,0.4242,0.82,0.350888,0.111717,0.058691
0,0,0,0.73913,0,1,0,0.333333,0.428571,0.4394,0.82,0.333373,0.040872,0.058691
0,0,0,0.782609,0,1,0,0.666667,0.408163,0.4242,0.88,0.298225,0.024523,0.029345
0,0,0,0.826087,0,1,0,0.666667,0.408163,0.4242,0.88,0.298225,0.016349,0.034989
0,0,0,0.869565,0,1,0,0.333333,0.387755,0.4091,0.87,0.298225,0.029973,0.028217
0,0,0,0.913043,0,1,0,0.333333,0.387755,0.4091,0.87,0.228047,0.008174,0.034989
0,0,0,0.956522,0,1,0,0.333333,0.387755,0.4091,0.94,0.263195,0.029973,0.019187
0,0,0,1,0,1,0,0.333333,0.44898,0.4545,0.88,0.350888,0.040872,0.027088
0,0,0,0,0,0,0,0.333333,0.44898,0.4545,0.88,0.350888,0.010899,0.014673
0,0,0,0.043478,0,0,0,0.333333,0.428571,0.4394,0.94,0.298225,0.002725,0.018059
0,0,0,0.086957,0,0,0,0.333333,0.408163,0.4242,1,0.333373,0.002725,0.009029
0,0,0,0.130435,0,0,0,0.333333,0.44898,0.4545,0.94,0.228047,0.00545,0.004515
0,0,0,0.173913,0,0,0,0.333333,0.44898,0.4545,0.94,0.228047,0.00545,0.001129
0,0,0,0.26087,0,0,0,0.666667,0.408163,0.4242,0.77,0.350888,0,0.002257
0,0,0,0.304348,0,0,0,0.333333,0.387755,0.4091,0.76,0.228047,0,0.001129
0,0,0,0.347826,0,0,0,0.666667,0.387755,0.4091,0.71,0.263195,0,0.009029
0,0,0,0.391304,0,0,0,0.333333,0.367347,0.3939,0.76,0.263195,0.002725,0.021445
0,0,0,0.434783,0,0,0,0.333333,0.346939,0.3485,0.81,0.263195,0.019074,0.051919
0,0,0,0.478261,0,0,0,0.333333,0.346939,0.3333,0.71,0.298225,0.043597,0.060948
0,0,0,0.521739,0,0,0,0.333333,0.346939,0.3333,0.66,0.350888,0.054496,0.082393
0,0,0,0.565217,0,0,0,0.333333,0.346939,0.3485,0.66,0.15787,0.029973,0.072235
0,0,0,0.608696,0,0,0,0.666667,0.346939,0.3485,0.76,0.228047,0.010899,0.062077
0,0,0,0.652174,0,0,0,0.666667,0.326531,0.3333,0.81,0.193018,0.051771,0.062077
0,0,0,0.695652,0,0,0,0.666667,0.326531,0.3333,0.71,0.193018,0.024523,0.075621
0,0,0,0.73913,0,0,0,0,0.326531,0.3333,0.57,0.228047,0.019074,0.065463
0,0,0,0.782609,0,0,0,0.333333,0.346939,0.3333,0.46,0.386035,0.027248,0.048533
0,0,0,0.826087,0,0,0,0,0.306122,0.2879,0.42,0.52639,0.002725,0.032731
0,0,0,0.869565,0,0,0,0,0.285714,0.2727,0.39,0.421065,0.013624,0.019187
0,0,0,0.913043,0,0,0,0,0.244898,0.2273,0.44,0.386035,0.029973,0.022573
0,0,0,0.956522,0,0,0,0,0.22449,0.2121,0.44,0.350888,0,0.010158
0,0,0,1,0,0,0,0,0.204082,0.2273,0.47,0.193018,0,0.009029
0,0,0,0,0,0.166667,1,0,0.204082,0.197,0.44,0.421065,0,0.005643
0,0,0,0.043478,0,0.166667,1,0,0.183673,0.1667,0.44,0.491243,0,0.002257
0,0,0,0.173913,0,0.166667,1,0,0.142857,0.1364,0.47,0.456213,0,0.001129
0,0,0,0.217391,0,0.166667,1,0,0.142857,0.1364,0.47,0.333373,0,0.003386
0,0,0,0.26087,0,0.166667,1,0,0.122449,0.1061,0.5,0.456213,0,0.03386
0,0,0,0.304348,0,0.166667,1,0,0.122449,0.1364,0.5,0.228047,0.002725,0.071106
0,0,0,0.347826,0,0.166667,1,0,0.122449,0.1212,0.5,0.333373,0.002725,0.172686
0,0,0,0.391304,0,0.166667,1,0,0.142857,0.1364,0.43,0.456213,0.019074,0.091422
0,0,0,0.434783,0,0.166667,1,0,0.163265,0.1667,0.43,0.298225,0.029973,0.037246
0,0,0,0.478261,0,0.166667,1,0,0.183673,0.1818,0.4,0.386035,0.027248,0.046275
0,0,0,0.521739,0,0.166667,1,0,0.204082,0.2121,0.35,0.350888,0.035422,0.054176
0,0,0,0.565217,0,0.166667,1,0,0.22449,0.2121,0.35,0.333373,0.021798,0.059819
0,0,0,0.608696,0,0.166667,1,0,0.244898,0.2424,0.3,0.333373,0.029973,0.074492
0,0,0,0.652174,0,0.166667,1,0,0.244898,0.2424,0.3,0.298225,0.038147,0.065463
0,0,0,0.695652,0,0.166667,1,0,0.244898,0.2424,0.3,0.298225,0.024523,0.075621
0,0,0,0.73913,0,0.166667,1,0,0.22449,0.2273,0.3,0.263195,0.029973,0.164786
0,0,0,0.782609,0,0.166667,1,0,0.22449,0.2576,0.32,0.12284,0.024523,0.167043
0,0,0,0.826087,0,0.166667,1,0,0.183673,0.2576,0.47,0,0.021798,0.115124
0,0,0,0.869565,0,0.166667,1,0,0.183673,0.2273,0.47,0.12284,0.008174,0.055305
0,0,0,0.913043,0,0.166667,1,0,0.163265,0.197,0.64,0.15787,0.008174,0.055305
0,0,0,0.956522,0,0.166667,1,0,0.122449,0.1515,0.69,0.15787,0,0.022573
0,0,0,1,0,0.166667,1,0,0.163265,0.2121,0.55,0.12284,0.002725,0.012415
0,0,0,0,0,0.333333,1,0,0.142857,0.1818,0.55,0.12284,0,0.005643
0,0,0,0.043478,0,0.333333,1,0,0.142857,0.1818,0.59,0.12284,0,0.002257
0,0,0,0.086957,0,0.333333,1,0,0.122449,0.1515,0.63,0.15787,0,0.001129
0,0,0,0.173913,0,0.333333,1,0,0.122449,0.1818,0.63,0.105325,0,0.002257
0,0,0,0.217391,0,0.333333,1,0,0.102041,0.1515,0.68,0.12284,0,0.004515
0,0,0,0.26087,0,0.333333,1,0,0.102041,0.1515,0.74,0.12284,0,0.040632
0,0,0,0.304348,0,0.333333,1,0,0.102041,0.1515,0.74,0.15787,0.00545,0.103837
0,0,0,0.347826,0,0.333333,1,0,0.122449,0.1515,0.69,0.193018,0.00545,0.199774
0,0,0,0.391304,0,0.333333,1,0,0.142857,0.1515,0.64,0.263195,0.00545,0.110609
0,0,0,0.434783,0,0.333333,1,0.333333,0.142857,0.1364,0.69,0.386035,0.013624,0.041761
0,0,0,0.478261,0,0.333333,1,0,0.204082,0.2121,0.51,0.350888,0.019074,0.056433
0,0,0,0.521739,0,0.333333,1,0,0.204082,0.2273,0.51,0.193018,0.032698,0.074492
0,0,0,0.565217,0,0.333333,1,0,0.22449,0.2273,0.56,0.228047,0.049046,0.089165
0,0,0,0.608696,0,0.333333,1,0,0.244898,0.2576,0.52,0.263195,0.024523,0.060948
0,0,0,0.652174,0,0.333333,1,0,0.265306,0.2727,0.52,0.298225,0.046322,0.054176
0,0,0,0.695652,0,0.333333,1,0,0.285714,0.2879,0.49,0.298225,0.040872,0.076749
0,0,0,0.73913,0,0.333333,1,0,0.265306,0.2727,0.48,0.263195,0.027248,0.227991
0,0,0,0.782609,0,0.333333,1,0,0.244898,0.2576,0.48,0.228047,0.008174,0.202032
0,0,0,0.826087,0,0.333333,1,0,0.22449,0.2576,0.48,0.12284,0.00545,0.124153
0,0,0,0.869565,0,0.333333,1,0,0.22449,0.2576,0.48,0.12284,0.002725,0.059819
0,0,0,0.913043,0,0.333333,1,0,0.204082,0.2727,0.64,0,0,0.054176
0,0,0,0.956522,0,0.333333,1,0,0.204082,0.2576,0.64,0.105325,0.002725,0.038375
0,0,0,1,0,0.333333,1,0,0.183673,0.2273,0.69,0.105325,0.00545,0.010158
0,0,0,0,0,0.5,1,0,0.183673,0.2576,0.64,0,0,0.006772
0,0,0,0.043478,0,0.5,1,0,0.142857,0.197,0.74,0.105325,0,0.006772
0,0,0,0.086957,0,0.5,1,0,0.142857,0.197,0.74,0.105325,0,0.002257
0,0,0,0.173913,0,0.5,1,0,0.22449,0.2273,0.48,0.263195,0,0.002257
